,Pearson_r,Spearman_rho,MI_vs_fesc
MAB_1500,-0.11884797683173409,-0.4741829989305167,0.12221149121742947
Balmer_dec,-0.305405068996569,-0.439082473997841,0.17373435180150398
E_BV,-0.3258487064108286,-0.439082473997841,0.173654595371187
O32,-0.09743090830801403,-0.31782904259452116,0.0644750279554609
Ne3O2,-0.03828835560112051,-0.23563292124447924,0.04829349431272245
xi_ion,0.02264787122757255,-0.18730833812898876,0.15764472639444715
N2Ha,-0.022977212247400607,0.18562771209234738,0.04142035840810898
EW_O3,-0.062464524644561197,-0.15566843489212587,0.05845773972535451
O3Hb,-0.2431103496249059,-0.15493287195046432,0.05882535507796849
redshift,0.12479405168054251,0.09941809267025055,0.029673690592119772
R23,-0.22127750489816309,-0.09899980928244369,0.05222128482021127
S2_deficit,-0.07869411035198168,0.08448073818649116,0.060664696773494065
beta_UV,0.039932517209029274,0.0470106325540173,0.009628863116093456
EW_Hb,0.015814293230914916,-0.044619798688505796,0.03774575426938309
